day_of_week,hour,engagement_rate,total_calls,category
Saturday,13,1.0,1,Golden Hours
Monday,17,1.0,1,Golden Hours
Saturday,10,1.0,1,Golden Hours
Friday,17,1.0,2,Golden Hours
Friday,14,1.0,14,Golden Hours
Thursday,7,1.0,2,Golden Hours
Tuesday,0,1.0,1,Golden Hours
Monday,8,0.961038961038961,154,Golden Hours
Monday,15,0.96,50,Golden Hours
Tuesday,15,0.9552238805970148,67,Golden Hours
Tuesday,13,0.9487179487179486,195,Golden Hours
Monday,16,0.9454545454545457,165,Golden Hours
Thursday,14,0.9451219512195119,164,Golden Hours
Wednesday,16,0.9391304347826087,115,Golden Hours
Saturday,12,0.9333333333333331,15,Golden Hours
Tuesday,12,0.9259259259259259,324,Golden Hours
Wednesday,10,0.925531914893617,188,Golden Hours
Thursday,12,0.9252336448598131,320,Golden Hours
Wednesday,11,0.925,200,Golden Hours
Wednesday,14,0.92,200,Golden Hours
Thursday,10,0.9175257731958765,194,Golden Hours
Tuesday,9,0.9166666666666665,264,Golden Hours
Monday,9,0.9158163265306123,392,Golden Hours
Friday,10,0.9141414141414139,198,Golden Hours
Friday,8,0.9119170984455959,193,Golden Hours
Wednesday,15,0.9111111111111111,45,Golden Hours
Wednesday,8,0.91005291005291,188,Golden Hours
Friday,12,0.9097472924187726,277,Golden Hours
Thursday,13,0.9076305220883532,249,Golden Hours
Wednesday,12,0.9068825910931174,247,Golden Hours
Monday,12,0.9043927648578811,387,Golden Hours
Thursday,9,0.9020618556701032,388,Golden Hours
Thursday,8,0.8980392156862745,255,Golden Hours
Thursday,11,0.8978494623655914,186,Golden Hours
Tuesday,11,0.8904109589041096,219,Golden Hours
Tuesday,16,0.8846153846153846,156,Golden Hours
Wednesday,13,0.8844621513944223,251,Golden Hours
Wednesday,9,0.8793103448275862,290,Golden Hours
Friday,13,0.8771929824561403,114,Golden Hours
Monday,10,0.8765060240963856,332,Golden Hours
Tuesday,14,0.875,96,Golden Hours
Friday,9,0.875,176,Golden Hours
Monday,13,0.872340425531915,235,Golden Hours
Friday,11,0.8661202185792349,366,Golden Hours
Tuesday,10,0.8617021276595744,282,Golden Hours
Thursday,15,0.8611111111111112,72,Golden Hours
Thursday,16,0.86,100,Golden Hours
Monday,14,0.854054054054054,185,Golden Hours
Friday,16,0.8362068965517241,116,Golden Hours
Tuesday,8,0.8270676691729322,133,Golden Hours
Monday,11,0.8211920529801324,302,Golden Hours
Friday,15,0.7391304347826086,46,Golden Hours
Tuesday,7,0.0,1,Very Low
