week_start,bookings_that_week,shows_that_week,calls_that_week,booking_rate_pct,show_rate_pct
2026-02-23,0.0,0.0,441.0,0.0,0.0
2026-03-02,3.0,1.0,765.0,0.39,33.33
2026-03-09,10.0,3.0,767.0,1.3,30.0
2026-03-16,5.0,1.0,806.0,0.62,20.0
2026-03-23,9.0,2.0,724.0,1.24,22.22
2026-03-30,3.0,1.0,648.0,0.46,33.33
2026-04-06,7.0,4.0,776.0,0.9,57.14
2026-04-13,5.0,3.0,800.0,0.62,60.0
2026-04-20,4.0,1.0,830.0,0.48,25.0
2026-04-27,9.0,3.0,808.0,1.11,33.33
2026-05-04,12.0,7.0,787.0,1.52,58.33
2026-05-11,7.0,0.0,142.0,4.93,0.0
2026-05-18,1.0,0.0,0.0,0.0,0.0
2026-05-25,1.0,0.0,0.0,0.0,0.0
2026-06-01,2.0,0.0,0.0,0.0,0.0
